"date","fips","state","cases","deaths","State.of.emergency","Date.closed.K.12.schools","Closed.day.cares","Date.banned.visitors.to.nursing.homes","Stay.at.home..shelter.in.place","End.relax.stay.at.home.shelter.in.place","Closed.non.essential.businesses","Reopen.businesses","Religious.Gatherings.Exempt.Without.Clear.Social.Distance.Mandate.","Mandate.face.mask.use.by.all.individuals.in.public.spaces","Mandate.face.mask.use.by.employees.in.essential.businesses","Alcohol.Liquor.Stores.Open","Keep.Firearms.Sellers.Open","Closed.restaurants.except.take.out","Reopen.restaurants","Closed.gyms","Repened.gyms","Closed.movie.theaters","Reopened.movie.theaters","Stop.Initiation.of.Evictions.overall.or.due.to.COVID.related.issues","Stop.enforcement.of.evictions.overall.or.due.to.COVID.related.issues","Renter.grace.period.or.use.of.security.deposit.to.pay.rent","Order.freezing.utility.shut.offs","Froze.mortgage.payments","Modify.Medicaid.requirements.with.1135.waivers..date.of.CMS.approval.","Reopened.ACA.enrollment.using.a.special.enrollment.period","Suspended.elective.medical.dental.procedures","Resumed.elective.medical.procedures","Waived.one.week.waiting.period.for.unemployment.insurance","Waive.work.search.requirement.for.unemployment.insurance","Expand.eligibility.of.unemployment.insurance.to.anyonewho.is.quarantined.and.or.taking.care.of.someone.who.is.quarantined","Expand.eligibility.of.unemployment.insurance.to.those.who.have.lost.childcare.school.closures","Extend.the.amount.of.time.an.individual.can.be.on.unemployment.insurance","Paid.sick.leave","Population.density.per.square.miles","Population.2018","Square.Miles","Number.Homeless..2019.","Percent.Unemployed..2018.","Percent.living.under.the.federal.poverty.line..2018.","Percent.at.risk.for.serious.illness.due.to.COVID","All.cause.deaths.2016","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered.ctp","hash","dateChecked","deaths.ctp","hospitalized","total","totalTestResults","posNeg","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","percentchangehours","percentchangebusinesses","ST","cases.nyt","deaths.nyt"
2020-01-22,53,"Washington",1,0,2020-02-29,2020-03-17,NA,2020-03-16,2020-03-23,NA,2020-03-25,NA,"0",NA,NA,1,0,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-03-18,2020-03-18,NA,2020-03-18,NA,2020-03-19,"3/10/2020",2020-03-19,2020-04-29,2020-03-18,1,1,0,0,"1",105.69,7535591,71298,"21577","4.3","10.3","35.1","54,769",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"299b5b62b4d05b5d61eba3e3730bb17d025ceb75","2020-01-22T21:00:00Z",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",1,0
2020-01-23,53,"Washington",1,0,2020-02-29,2020-03-17,NA,2020-03-16,2020-03-23,NA,2020-03-25,NA,"0",NA,NA,1,0,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-03-18,2020-03-18,NA,2020-03-18,NA,2020-03-19,"3/10/2020",2020-03-19,2020-04-29,2020-03-18,1,1,0,0,"1",105.69,7535591,71298,"21577","4.3","10.3","35.1","54,769",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"faa0d0b985f479eac50082e417dc84f9e645db8f","2020-01-23T21:00:00Z",NA,NA,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"WA",1,0
2020-01-24,17,"Illinois",1,0,2020-03-09,2020-03-17,2020-03-23,NA,2020-03-21,NA,2020-03-21,NA,"0",2020-05-01,2020-05-01,1,1,2020-03-16,NA,2020-03-21,NA,2020-03-21,NA,NA,2020-03-21,NA,2020-03-18,NA,2020-03-23,"0",NA,2020-05-11,2020-03-16,1,1,1,0,"0",220,12741080,57914,"10,199","5.5","12.1","36.2","107,020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",1,0
2020-01-24,53,"Washington",1,0,2020-02-29,2020-03-17,NA,2020-03-16,2020-03-23,NA,2020-03-25,NA,"0",NA,NA,1,0,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-03-18,2020-03-18,NA,2020-03-18,NA,2020-03-19,"3/10/2020",2020-03-19,2020-04-29,2020-03-18,1,1,0,0,"1",105.69,7535591,71298,"21577","4.3","10.3","35.1","54,769",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4763cdf13300976ba41317d7c7767e1c558a1134","2020-01-24T21:00:00Z",NA,NA,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"WA",1,0
2020-01-25,17,"Illinois",1,0,2020-03-09,2020-03-17,2020-03-23,NA,2020-03-21,NA,2020-03-21,NA,"0",2020-05-01,2020-05-01,1,1,2020-03-16,NA,2020-03-21,NA,2020-03-21,NA,NA,2020-03-21,NA,2020-03-18,NA,2020-03-23,"0",NA,2020-05-11,2020-03-16,1,1,1,0,"0",220,12741080,57914,"10,199","5.5","12.1","36.2","107,020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",1,0
2020-01-25,53,"Washington",1,0,2020-02-29,2020-03-17,NA,2020-03-16,2020-03-23,NA,2020-03-25,NA,"0",NA,NA,1,0,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-03-18,2020-03-18,NA,2020-03-18,NA,2020-03-19,"3/10/2020",2020-03-19,2020-04-29,2020-03-18,1,1,0,0,"1",105.69,7535591,71298,"21577","4.3","10.3","35.1","54,769",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f17fc4cde1b2e7b57e946752d620e48d7f02c7ce","2020-01-25T21:00:00Z",NA,NA,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"WA",1,0
2020-01-25,6,"California",0,0,2020-03-04,NA,NA,NA,2020-03-19,NA,2020-03-19,NA,"0",NA,NA,1,0,2020-03-19,NA,2020-03-19,NA,2020-03-19,NA,2020-03-27,NA,NA,2020-04-02,NA,2020-03-23,"3/20/2020",2020-03-19,2020-04-22,2020-03-12,1,1,0,0,"1",241.65,39557045,163695,"151,278","5.5","12.8","33.3","262,240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA",1,0
2020-01-26,17,"Illinois",1,0,2020-03-09,2020-03-17,2020-03-23,NA,2020-03-21,NA,2020-03-21,NA,"0",2020-05-01,2020-05-01,1,1,2020-03-16,NA,2020-03-21,NA,2020-03-21,NA,NA,2020-03-21,NA,2020-03-18,NA,2020-03-23,"0",NA,2020-05-11,2020-03-16,1,1,1,0,"0",220,12741080,57914,"10,199","5.5","12.1","36.2","107,020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",1,0
2020-01-26,4,"Arizona",1,0,2020-03-11,2020-03-16,NA,NA,2020-03-31,NA,2020-03-30,NA,"1",NA,NA,1,1,2020-03-20,NA,2020-03-20,NA,2020-03-20,NA,NA,2020-03-24,NA,NA,NA,2020-03-23,"0",2020-03-21,2020-05-01,2020-03-18,1,1,1,0,"1",62.91,7171646,113990,"10,007","5.4","14","39.1","56,645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ",1,0
2020-01-26,53,"Washington",1,0,2020-02-29,2020-03-17,NA,2020-03-16,2020-03-23,NA,2020-03-25,NA,"0",NA,NA,1,0,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-03-18,2020-03-18,NA,2020-03-18,NA,2020-03-19,"3/10/2020",2020-03-19,2020-04-29,2020-03-18,1,1,0,0,"1",105.69,7535591,71298,"21577","4.3","10.3","35.1","54,769",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"405aae8b4155c77878ab1e2a85f32d7bb7a45c9a","2020-01-26T21:00:00Z",NA,NA,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"WA",1,0
