iso2c,cpop
AF,3.7172386e7
AL,2.866376e6
DZ,4.2228429e7
AD,77006.0
AO,3.0809762e7
AG,96286.0
AR,4.4494502e7
AM,2.951776e6
AU,2.4982688e7
AT,8.840521e6
AZ,9.9398e6
BS,385640.0
BH,1.569439e6
BD,1.61356039e8
BB,286641.0
BY,9.483499e6
BE,1.1433256e7
BJ,1.1485048e7
BT,754394.0
BO,1.1353142e7
BA,3.323929e6
BR,2.09469333e8
BN,428962.0
BG,7.025037e6
BF,1.9751535e7
CV,543767.0
KH,1.6249798e7
CM,2.5216237e7
CA,3.7057765e7
CF,4.666377e6
TD,1.5477751e7
CL,1.872916e7
CN,1.39273e9
HK,7.451e6
CO,4.9648685e7
CG,5.244363e6
CD,8.4068091e7
CR,4.999441e6
CI,2.5069229e7
HR,4.087843e6
CU,1.1338138e7
CY,1.189265e6
CZ,1.0629928e7
DK,5.793636e6
DJ,958920.0
DO,1.0627165e7
EC,1.7084357e7
EG,9.8423595e7
SV,6.420744e6
GQ,1.308974e6
ER,3.213972e6
EE,1.321977e6
SZ,1.136191e6
ET,1.09224559e8
FJ,883483.0
FI,5.515525e6
FR,6.6977107e7
GA,2.119275e6
GM,2.280102e6
GE,3.726549e6
DE,8.2905782e7
GH,2.9767108e7
GR,1.0731726e7
GT,1.7247807e7
GN,1.2414318e7
GY,779004.0
HT,1.1123176e7
HN,9.587522e6
HU,9.775564e6
IS,352721.0
IN,1.352617328e9
ID,2.67663435e8
IR,8.1800269e7
IQ,3.84336e7
IE,4.867309e6
IL,8.8828e6
IT,6.042176e7
JM,2.934855e6
JP,1.265291e8
JO,9.956011e6
KZ,1.827243e7
KE,5.139301e7
KR,5.1606633e7
KW,4.137309e6
KG,6.3228e6
LV,1.927174e6
LB,6.848925e6
LR,4.818977e6
LI,37910.0
LT,2.801543e6
LU,607950.0
MG,2.6262368e7
MY,3.1528585e7
MV,515696.0
MT,484630.0
MR,4.403319e6
MU,1.265303e6
MX,1.26190788e8
MD,2.706049e6
MC,38682.0
MN,3.170208e6
ME,622227.0
MA,3.6029138e7
NA,2.448255e6
NP,2.8087871e7
NL,1.7231624e7
NZ,4.841e6
NI,6.465513e6
NG,1.9587474e8
MK,2.082958e6
NO,5.311916e6
OM,4.829483e6
PK,2.1221503e8
PA,4.176873e6
PG,8.606316e6
PY,6.956071e6
PE,3.1989256e7
PH,1.06651922e8
PL,3.797475e7
PT,1.0283822e7
QA,2.781677e6
RO,1.9466145e7
RU,1.4447805e8
RW,1.2301939e7
LC,181889.0
VC,110210.0
SM,33785.0
SA,3.3699947e7
SN,1.585436e7
RS,6.982604e6
SC,96762.0
SG,5.638676e6
SK,5.446771e6
SI,2.073894e6
SO,1.5008154e7
ZA,5.7779622e7
ES,4.679654e7
LK,2.167e7
SD,4.1801533e7
SR,575991.0
SE,1.0175214e7
CH,8.513227e6
TW,
TZ,5.6318348e7
TH,6.9428524e7
TG,7.889094e6
TT,1.389858e6
TN,1.1565204e7
TR,8.2319724e7
UG,4.2723139e7
UA,4.4622516e7
AE,9.630959e6
GB,6.6460344e7
UY,3.449299e6
US,3.26687501e8
UZ,3.29554e7
VE,2.8870195e7
VN,9.5540395e7
ZM,1.7351822e7
ZW,1.4439018e7
DM,71625.0
GD,111454.0
MZ,2.9495962e7
SY,1.6906283e7
TL,1.267972e6
BZ,383071.0
LY,6.678567e6
PS,4.569087e6
GW,1.874309e6
ML,1.907769e7
XK,1.8453e6
BW,2.254126e6
BI,1.1175378e7
SL,7.650154e6
MW,1.8143315e7
SS,1.097592e7
ST,211028.0
YE,2.8498687e7
